CVE_ENT,CLAVE_CCT,TURNO,NOMBRE,CVE_MUN,NOMBRE_MUNICIPIO,CVE_LOC,NOMBRE_LOCALIDAD,NIVEL_EDUC,MODALIDAD,SERVICIO_ALIMENTACION
1,01DES0006J,1,AMADO NERVO,1,AGUASCALIENTES,1,AGUASCALIENTES,SECUNDARIA,SECUNDARIA GENERAL,NO
1,01DES0007I,1,22 DE OCTUBRE,1,AGUASCALIENTES,1,AGUASCALIENTES,SECUNDARIA,SECUNDARIA GENERAL,NO
1,01DES0013T,1,JOSE GUADALUPE NAJERA JIMENEZ,1,AGUASCALIENTES,479,VILLA LICENCIADO JESÚS TERÁN (CALVILLITO),SECUNDARIA,SECUNDARIA GENERAL,NO
1,01DES0014S,1,LIC. JOSE VASCONCELOS,9,TEPEZALÁ,1,TEPEZALÁ,SECUNDARIA,SECUNDARIA GENERAL,NO
1,01DES0017P,1,RAMON LOPEZ VELARDE,1,AGUASCALIENTES,1,AGUASCALIENTES,SECUNDARIA,SECUNDARIA GENERAL,NO
1,01DES0030J,1,OCTAVIO PAZ,1,AGUASCALIENTES,1,AGUASCALIENTES,SECUNDARIA,SECUNDARIA GENERAL,NO
1,01DES0038B,1,GABRIEL GARCIA MARQUEZ,1,AGUASCALIENTES,1,AGUASCALIENTES,SECUNDARIA,SECUNDARIA GENERAL,NO
1,01DJN0002D,1,JEAN PIAGET,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0003C,1,CUARTO CENTENARIO,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0004B,1,AGUSTIN MELGAR,9,TEPEZALÁ,25,SAN ANTONIO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0007Z,1,LEONA VICARIO,9,TEPEZALÁ,1,TEPEZALÁ,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0022R,1,ALFONSO REYES,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0031Z,1,ESTEFANIA CASTAÑEDA,6,PABELLÓN DE ARTEAGA,2,LAS ÁNIMAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0034W,1,SOR JUANA INES DE LA CRUZ,7,RINCÓN DE ROMOS,44,EL VALLE DE LAS DELICIAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0036U,1,CADETE FRANCISCO MARQUEZ,5,JESÚS MARÍA,109,VALLADOLID,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0042E,1,JOSÉ ANGEL CENICEROS,1,AGUASCALIENTES,297,COMUNIDAD EL ROCÍO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0045B,1,DOÑA MARGARITA MAZA DE JUAREZ,9,TEPEZALÁ,12,EL CHAYOTE,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0051M,1,CELERINO CANO,7,RINCÓN DE ROMOS,43,EL SAUCILLO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0061T,1,AGUSTIN YAÑEZ,10,EL LLANO,18,LOS CONOS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0064Q,1,ROSARIO CASTELLANOS,2,ASIENTOS,11,CIÉNEGA GRANDE,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0069L,1,EMILIANO ZAPATA,2,ASIENTOS,59,VILLA JUÁREZ,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0092M,1,CARMEN RAMOS,3,CALVILLO,55,OJOCALIENTE,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0093L,1,JUSTO SIERRA,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0102C,1,JUSTO SIERRA,2,ASIENTOS,39,PILOTOS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0103B,1,MADAME MARIA CURIE,9,TEPEZALÁ,1,TEPEZALÁ,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0114H,1,DOÑA JOSEFA ORTIZ DE DOMINGUEZ,7,RINCÓN DE ROMOS,112,EL SALITRILLO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0118D,1,MOISES SAENZ,11,SAN FRANCISCO DE LOS ROMO,12,LA CONCEPCIÓN,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0125N,1,JESUS F. CONTRERAS,10,EL LLANO,58,OJO DE AGUA DE CRUCITAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0131Y,1,ENRIQUETA GONZALEZ GOYTIA,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0133W,1,JESUS DIAZ DE LEON,2,ASIENTOS,60,VIUDAS DE PONIENTE,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0135U,1,DANIEL DELGADILLO,2,ASIENTOS,51,SAN RAFAEL DE OCAMPO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0137S,1,ANTONIO LEAL Y ROMERO,6,PABELLÓN DE ARTEAGA,1,PABELLÓN DE ARTEAGA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0138R,1,BENIGNO CHAVEZ,5,JESÚS MARÍA,40,LAS JAULAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0139Q,1,GUADALUPE NAJERA,9,TEPEZALÁ,8,CARBONERAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0142D,1,JOSE GOROSTIZA,9,TEPEZALÁ,15,MESILLAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0145A,1,CARLOS CHAVEZ,2,ASIENTOS,27,JARILLAS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0147Z,1,ALFONSO CASO,2,ASIENTOS,22,FRANCISCO VILLA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0148Y,1,IGNACIO CHAVEZ,2,ASIENTOS,28,JILOTEPEC,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0150M,1,LEOPOLDO KIEL,5,JESÚS MARÍA,41,JESÚS GÓMEZ PORTUGAL (MARGARITAS),PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0152K,1,GREGORIO TORRES QUINTERO,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,SI
1,01DJN0158E,1,CARLOS CHAVEZ,9,TEPEZALÁ,4,LOS ALAMITOS,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0168L,1,VICENTE SUAREZ,6,PABELLÓN DE ARTEAGA,24,OJO ZARCO [COLONIA],PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0173X,1,EDUARDO J. CORREA,9,TEPEZALÁ,51,CALDERA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0185B,1,MA. ADELINA FLORES MORALES,9,TEPEZALÁ,16,OJO DE AGUA DE LOS MONTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0186A,1,ERMILO ABREU GOMEZ,2,ASIENTOS,5,AMARILLAS DE ESPARZA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0188Z,1,MANUEL ACUÑA,2,ASIENTOS,4,PLUTARCO ELÍAS CALLES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0189Y,1,UN NUEVO MUNDO,2,ASIENTOS,35,NORIA DEL BORREGO (NORIAS),PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0192L,1,JOSE GOROSTIZA,2,ASIENTOS,7,BIMBALETES AGUASCALIENTES (EL ÁLAMO),PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0195I,1,SALVADOR NOVO,7,RINCÓN DE ROMOS,41,SAN JUAN DE LA NATURA,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0196H,1,JUAN DE DIOS PEZA,4,COSÍO,32,SANTA MARÍA DE LA PAZ,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0197G,1,PEDRO RINCON DE ORTEGA,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0199E,1,CARLOS PELLICER,4,COSÍO,30,EL SALERO,PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0200D,1,EMILIO R. LEAL,7,RINCÓN DE ROMOS,34,PUERTA DEL MUERTO (EL 15),PREESCOLAR,PREESCOLAR GENERAL,NO
1,01DJN0213H,1,AMALIA SOLORZANO DE CARDENAS,1,AGUASCALIENTES,1,AGUASCALIENTES,PREESCOLAR,PREESCOLAR GENERAL,NO
